Station Name,Latitude,Longitude
Mundka Industrial Area Delhi ,28.6834491,77.0171333
Munirka Delhi ,28.5568967,77.1750592
Najafgarh Delhi ,28.6124504,76.9865067
Nangli Delhi ,28.6173003,77.0104375
Nangloi Delhi ,28.6824007,77.0647319
Nangloi Railway Station Delhi ,28.6822009,77.0562463
Naraina Vihar Delhi ,28.6243852,77.1364438
Nawada Delhi ,28.6202758,77.0450787
Neelam Chowk Ajronda,28.3976584,77.31235576
Nehru Enclave Delhi ,28.5460584,77.2515057
Nehru Place Delhi ,28.5514171,77.2517386
Netaji Subhash Place Delhi ,28.6947146,77.1542607
New Ashok Nagar Delhi ,28.5890885,77.3015085
New Delhi Delhi ,28.6419258,77.2217499
Delhi Airport Metro Express,28.5564899,77.0867238
NHPC Chowk,28.4576741,77.3047513
Nirman Vihar Delhi ,28.6364928,77.2867943
Noida City Centre,28.5747334,77.3561638
Noida Electronic City,28.6282627,77.3750033
Noida Sector 15,28.5848835,77.3116118
Noida Sector 16,28.578081,77.3177778
Noida Sector 18,28.5707583,77.3260756
Noida Sector 34,28.5802538,77.3634917
Noida Sector 52,28.5868739,77.3730237
Noida Sector 59,28.6065279,77.3726828
Noida Sector 61,28.5975854,77.3722663
Noida Sector 62,28.6169861,77.3735885
Okhla Bird Sanctuary Delhi ,28.5569866,77.3090031
Okhla NSIC Delhi ,28.55451235,77.26494134
Okhla Vihar Delhi ,28.5613002,77.2919304
Old Faridabad Delhi ,28.41992815,77.31196931
Palam Delhi ,28.585353,77.0924713
Panchsheel Park Delhi ,28.5423747,77.2210916
Pandit Shree Ram Sharma,28.689281,76.9511988
Paschim Vihar East Delhi ,28.6773563,77.1122823
Paschim Vihar West Delhi ,28.678613,77.1022154
Patel Chowk Delhi ,28.6237154,77.2130582
Patel Nagar Delhi ,28.6450527,77.1693179
Peera Garhi Delhi ,28.6798074,77.0926793
Pitam Pura Delhi ,28.7032676,77.1322497
Pratap Nagar Delhi ,28.6667177,77.1988974
Preet Vihar Delhi ,28.6414176,77.2952819
Pul Bangash Delhi ,28.6664068,77.2074156
