Station Name,Latitude,Longitude
Indira Nagar Mumbai ,19.036052,72.8635501
Siddhivinayak Temple Mumbai ,19.1726703,72.9562489
Chakala Mumbai ,19.1152873,72.8618085
Prem Nagar Mumbai ,19.10922945,72.83963053334259
Andheri Mumbai ,19.1196976,72.8464205
Mulund Fire Station Mumbai ,19.17475,72.9418994
Gaimukh Mumbai ,19.2857571,72.9359618
Anjur Phata Mumbai ,19.3668806,72.9182969
Jogeshwari Mumbai ,19.1348994,72.8488199
Dongripada Mumbai ,19.2506904,72.9733318
Churchgate Mumbai ,18.9354797,72.8271741
Naval Housing Mumbai ,19.1167083,72.90636714615492
Tikuji-ni-wadi,Not Found,Not Found
Chembur Mumbai ,19.0626319,72.9011399
"BSNL, Govandi",Not Found,Not Found
Mahakali Caves Mumbai ,19.1306093,72.87381645183467
Kasturi Park Mumbai ,19.1728629,72.8362994
Nilaje Gaon Mumbai ,19.1539358,73.0824948
Wadala Truck Terminal Mumbai ,19.03470845,72.876617325
Gowniwada Mumbai ,19.271637,72.9554451
Bhandup Mumbai ,19.1438684,72.9384327
Vijay Garden Mumbai ,19.2622018,72.97381164762723
Teen Haath Naka,Not Found,Not Found
SEEPZ Mumbai ,19.1253556,72.8751701719707
Shangrila Mumbai ,19.0604361,72.82697369924672
Govegaon MIDC,Not Found,Not Found
Borivali Omkareshwar,19.2316351,72.8628477
D.N. Nagar Mumbai ,19.12829205,72.83019335523952
Ekta Nagar Mumbai ,19.0528973,72.9373071
Grant Road Mumbai ,18.9633549,72.8158261
Indralok Mumbai ,19.1391104,72.82453859126397
Bandra Mumbai ,19.0549792,72.8402203
Manpada Mumbai ,19.2314156,72.9738156
Shreyas Cinema Mumbai ,19.0940067,72.9126336
Kapurbawdi Mumbai ,19.2112292,72.9801892
I.C. Colony Mumbai ,19.2446251,72.8479254
Oshiwara Mumbai ,19.1502437,72.8342294
Mahanand Mumbai ,26.8190196,87.2839819
Magathane Bus Depot,Not Found,Not Found
Marol Naka Mumbai ,19.1081559,72.87947778228579
Manpada Mumbai ,19.2314156,72.9738156
RTO Thane Mumbai ,19.1891278,72.9643227
CSMIA Domestic,Not Found,Not Found
Versova Mumbai ,19.13025205,72.8213774957082
Bale Mumbai ,20.530308,-100.402738
Hay Bunder Mumbai ,18.9666198,72.84247799992306
Dharavi Mumbai ,19.044463,72.8586177
Siddharth Colony Mumbai ,19.0679724,72.8472782
Anand Nagar Mumbai ,19.0993828,72.9115929
Shahid Bhagat Singh Garden,18.93558385,72.8371413314241
Andheri Mumbai ,19.1196976,72.8464205
Gaimukh Reti Bandar,Not Found,Not Found
Kurar Village Mumbai ,19.1878187,72.8641984
Anik Nagar Bus Depot Mumbai ,19.04510565,72.87685057991499
Kalyan APMC,Not Found,Not Found
Sonarpada Mumbai ,19.1985496,73.0977884
Aarey Road Junction,Not Found,Not Found
Kurla Mumbai ,19.0652797,72.8793805
Zankar Company,Not Found,Not Found
Vitt Bhatti Junction,Not Found,Not Found
Pant Nagar Mumbai ,19.07931595,72.90994709974575
Shastri Nagar Mumbai ,19.1380387,72.8280164
