Station Names
Azad Nagar metro station
Devipada metro station
Dhamankar Naka metro station
Santacruz metro station
Kalyan Railway Station metro station
"MTNL, BKC metro station"
Mahindra & Mahindra metro station
Bhiwandi metro station
Diamond Garden metro station
Kandivali metro station
Darukhana metro station
Eastern Express Highway metro station
Mahapalika Marg metro station
Bhakti Park (Wadala) metro station
Sonapur metro station
Pisavali Gaon metro station
Ganesh Nagar (Kalyan) metro station
Subhash Chandra Bose Stadium metro station
Pisarve Depot metro station
Science Museum metro station
Dahisar (East) metro station
Rambaug (Powai) metro station
Gandhi Nagar (Kanjurmarg) metro station
Cadbury Junction metro station
Rajnouli Village metro station
Kanjurmarg (West) metro station
"ILFS, BKC metro station"
Kasarvadavali metro station
Amar Mahal Junction metro station
Sewri metro station
Airport Colony metro station
Dombivali MIDC metro station
Khira Nagar metro station
Vikhroli metro station
Charkop metro station
Suman Nagar metro station
MIDC metro station
CSMIA International metro station
Turbhe metro station
SG Barve Marg metro station
Clock Tower metro station
Acharya Atrey Chowk metro station
Deepak Hospital (Medtiya Nagar) metro station
Taloja metro station
Kasheli metro station
Swami Samarth Nagar (Lokhandwala) metro station
Income Tax Office (BKC) metro station
Powai Lake metro station
Aarey Colony metro station
Garodia Nagar metro station
Rushi Sankul metro station
Amar Palace (Miragaon) metro station
Sagaon metro station
Wadi Bunder metro station
National College (Bandra) metro station
Purna metro station
Airport Road metro station
Laxmi Nagar (Ghatkopar) metro station
Dadar metro station
Hedutane metro station
Bangur Nagar (Goregaon) metro station
Kashimira metro station
Shyam Nagar (Mumbai) metro station
Durgadi Fort metro station
Adarsh Nagar (Mumbai) metro station
Jagruti Nagar metro station
Balkum Naka metro station
Vadavali metro station
Eksar LIC Colony metro station
Golavali metro station
Sahar Road metro station
Mulund Naka metro station
Mandala metro station
Waklan metro station
Shivaji Chowk (Chembur) metro station
Coal Bunder metro station
Chhatrapati Shivaji Maharaj Terminus metro station
Pandhurang Wadi metro station
Vikhroli EEH metro station
Asalpha metro station
IIT Powai metro station
Shrinath Nagar (Ovaripada) metro station
Mumbai Central metro station
Vidhan Bhavan metro station
Kastur Park (Shimpoli) metro station
Ganesh Nagar metro station
Gopal Nagar metro station
Vidyanagri metro station
SEEPZ Village metro station
Saraswat Nagar metro station
Mankhurd metro station
Pisarve metro station
Girgaon metro station
Nanavati Hospital metro station
Shitladevi Temple metro station
Kongaon metro station
Hutatma Chowk metro station
Cuffe Parade metro station
ESIC Nagar metro station
Majiwada metro station
Ghatkopar metro station
Don Bosco (Borivali) metro station
Shivaji Chowk (Mira Road) metro station
Sai Baba Nagar metro station
Goregaon (West) metro station
Bandongri metro station
Badhwar Park metro station
Bhandup Mahapalika metro station
Kalbadevi metro station
Western Express Highway metro station
Worli metro station
Mahalaxmi metro station
Varsova Char Phata metro station
Sahajanand Chowk metro station
MBMC Sports Complex metro station
JVLR Junction metro station
Shankarwadi metro station
Godrej Company metro station
Saki Naka metro station
Saki Vihar Road metro station
Temghar metro station
BPT Hospital metro station
Kalher metro station
Kolegaon metro station
Surya Nagar metro station
Malad metro station
Carnac Bunder metro station
Indira Nagar (Vile Parle) metro station
Siddhivinayak Temple metro station
Chakala (J B Nagar) metro station
Prem Nagar metro station
Andheri metro station
Mulund Fire Station metro station
Gaimukh metro station
Anjur Phata metro station
Jogeshwari (West) metro station
Dongripada metro station
Churchgate metro station
Naval Housing metro station
Tikuji-ni-wadi metro station
Chembur metro station
"BSNL, Govandi metro station"
Mahakali Caves metro station
Kasturi Park (Malad) metro station
Nilaje Gaon metro station
Wadala Truck Terminal metro station
Gowniwada metro station
Bhandup metro station
Vijay Garden metro station
Teen Haath Naka (Thane) metro station
SEEPZ metro station
Shangrila metro station
Govegaon MIDC metro station
Borivali Omkareshwar (National Park) metro station
D.N. Nagar metro station
Ekta Nagar metro station
Grant Road metro station
Indralok metro station
Bandra metro station
Manpada (Dombivali East) metro station
Shreyas Cinema metro station
Kapurbawdi metro station
I.C. Colony metro station
Oshiwara metro station
Mahanand (Goregaon East) metro station
Magathane Bus Depot (Borivali) metro station
Marol Naka metro station
Manpada (Thane) metro station
RTO Thane metro station
CSMIA Domestic metro station
Versova metro station
Bale metro station
Hay Bunder metro station
Dharavi metro station
Siddharth Colony metro station
Anand Nagar (Dahisar) metro station
Shahid Bhagat Singh Garden metro station
Andheri (East) metro station
Gaimukh Reti Bandar metro station
Kurar Village metro station
Anik Nagar Bus Depot metro station
Kalyan APMC metro station
Sonarpada metro station
Aarey Road Junction metro station
Kurla (East) metro station
Zankar Company (Kashigaon) metro station
Vitt Bhatti Junction (Dindoshi) metro station
Pant Nagar metro station
Shastri Nagar (Mumbai) metro station
