Station Names
Secunderabad East 
Peddamma Gudi 
Erragadda 
Moosapet 
Taruni Madhura Nagar 
R.T.C. X Roads 
Durgam Cheruvu 
Lakdi-ka-pul 
S.R. Nagar 
Secunderabad West 
Rasoolpura 
Chikkadpally 
Begumpet 
Miyapur 
Sultan Bazaar 
Chaitanyapuri 
Kukatpally 
Assembly 
JBS Parade Ground 
Gandhi Bhavan 
Irrum Manzil 
Khairatabad 
HITEC City 
New Market 
Victoria Memorial 
Musheerabad 
LB Nagar 
Road No 5 Jubilee Hills 
Gandhi Hospital 
KPHB Colony 
Musarambagh 
Uppal 
Tarnaka 
Raidurg 
Malakpet 
Madhapur 
ESI Hospital
Ameerpet 
MG Bus Station 
Osmania Medical College 
Paradise 
Dr. B. R. Ambedkar Balanagar 
Jubilee Hills Check Post 
Narayanaguda 
NGRI 
Punjagutta 
Parade Ground 
Prakash Nagar 
Bharat Nagar 
Yusufguda 
JNTU College 
Nagole 
Mettuguda 
Nampally 
Habsiguda 
Dilsukhnagar 
Stadium 
