Station Names
Paschim Vihar West metro station
Delhi Airport Metro Express
Jahangirpuri metro station
Lok Kalyan Marg metro station
Dwarka Sector 8 metro station
Jawaharlal Nehru Stadium metro station
Model Town metro station
Karkarduma metro station
Naraina Vihar metro station
Palam metro station
Netaji Subhash Place metro station
Ashok Park Main metro station
Satguru Ramsingh Marg metro station
Arthala metro station
R.K Puram metro station
Hauz Khas metro station
Badkhal Mor metro station
HUDA City Centre metro station
Sikandarpur metro station
Vinobapuri metro station
Welcome metro station
Jasola Vihar Shaheen Bagh metro station
Arjan Garh metro station
Tikri Kalan metro station
Rithala metro station
Mewla Maharajpur metro station
Okhla NSIC metro station
Saket metro station
Pul Bangash metro station
Moti Nagar metro station
Noida Sector 61 metro station
Kirti Nagar metro station
New Delhi metro station
Dwarka Sector 13 metro station
Jangpura metro station
Najafgarh metro station
Pandit Shree Ram Sharma metro station
Peera Garhi metro station
Dhansa Bus Stand metro station
Mayapuri metro station
Krishna Nagar metro station (Delhi)
Trilokpuri Sanjay Lake metro station
Shivaji Park metro station
Noida Sector 34 metro station
Mayur Vihar Extension metro station
Dwarka Sector 14 metro station
Ghevra metro station
Khan Market metro station
Patel Nagar metro station
Noida Sector 52 metro station
Tis Hazari metro station
Kaushambi metro station
East Vinod Nagar - Mayur Vihar-II metro station
Anand Vihar metro station
Shaheed Sthal metro station
Greater Kailash metro station
Janakpuri East metro station
Paschim Vihar East metro station
Shiv Vihar metro station
Janpath metro station
Jamia Millia Islamia metro station
Johri Enclave metro station
Dwarka Sector 10 metro station
Kashmere Gate metro station
Supreme Court metro station
Shaheed Nagar metro station
Subhash Nagar metro station (Delhi)
Majlis Park metro station
Mayur Vihar Pocket I metro station
Sant Surdas (Sihi) metro station
Seelampur metro station
Indraprastha metro station
Shastri Nagar metro station
Ramesh Nagar metro station
Sir Vishweshwaraiah Moti Bagh metro station
Madipur metro station
Kailash Colony metro station
Durgabai Deshmukh South Campus metro station
Malviya Nagar metro station
Laxmi Nagar metro station
Mandawali - West Vinod Nagar metro station
Uttam Nagar West metro station
ESI Hospital metro station
Nehru Place metro station
Bahadurgarh City metro station
Central Secretariat metro station
Golf Course metro station
Vaishali metro station
Shastri Park metro station
Udyog Bhawan metro station
Dwarka Sector 21 metro station
Botanical Garden metro station
Dwarka metro station
Noida City Centre metro station
Ashram metro station
Major Mohit Sharma Rajendra Nagar metro station
Karkarduma Court metro station
Dabri Mor - Janakpuri South metro station
Akshardham metro station
Rajiv Chowk metro station
Mundka metro station
Chandni Chowk metro station (Delhi)
Hazrat Nizamuddin metro station
Hindon River metro station
Pitam Pura metro station
Tagore Garden metro station
Noida Sector 18 metro station
Lajpat Nagar metro station
Chhatarpur metro station
Rajouri Garden metro station
Panchsheel Park metro station
Moolchand metro station
Mundka Industrial Area metro station
Govind Puri metro station
Rajdhani Park metro station
Shadipur metro station
Kanhaiya Nagar metro station
Punjabi Bagh West metro station
Brigadier Hoshiyar Singh metro station
AIIMS metro station
Sukhdev Vihar metro station
Vishwa Vidyalaya metro station
Dwarka Sector 9 metro station
South Extension metro station
Jhandewalan metro station
INA metro station
Noida Sector 15 metro station
Raja Nahar Singh metro station
Nangloi metro station
Nirman Vihar metro station
Delhi Cantonment metro station
Dwarka Sector 11 metro station
Jor Bagh metro station
Mohan Nagar metro station
IFFCO Chowk metro station
Noida Sector 16 metro station
Escorts Mujesar metro station
Sarai metro station
Shakurpur metro station
Vasant Vihar metro station
Green Park metro station
Tikri Border metro station
Qutab Minar metro station
Azadpur metro station
Harkesh Nagar Okhla metro station
Udyog Nagar metro station
Gokulpuri metro station
Raj Bagh metro station
Dilshad Garden metro station
Surajmal Stadium metro station
Dwarka Mor metro station
Nehru Enclave metro station
Maujpur - Babarpur metro station
Mansarovar Park metro station
Yamuna Bank metro station
Mohan Estate metro station
Punjabi Bagh metro station
Chawri Bazar metro station
Rohini East metro station
GTB Nagar metro station
Vidhan Sabha metro station
Ramakrishna Ashram Marg metro station
Haiderpur Badli Mor metro station
New Ashok Nagar metro station
Nawada metro station
Delhi Aerocity metro station
Sultanpur metro station
Jasola Apollo metro station
Shyam Park metro station
Preet Vihar metro station
Noida Sector 62 metro station
Nangli metro station
Rajendra Place metro station
Terminal 1-IGI Airport metro station
Badarpur Border metro station
Bhikaji Cama Place metro station
Okhla Vihar metro station
Old Faridabad metro station
Shivaji Stadium metro station
Patel Chowk metro station
Okhla Bird Sanctuary metro station
Barakhamba Road metro station
Janakpuri West metro station
Shalimar Bagh metro station
Noida Electronic City metro station
Sector 28 metro station
"Rohini Sector 18, 19 metro station"
Uttam Nagar East metro station
Guru Dronacharya metro station
Tughlakabad Station metro station
Adarsh Nagar metro station
Inderlok metro station
Tilak Nagar metro station
Karol Bagh metro station
Delhi Gate metro station
Jhilmil metro station
Noida Sector 59 metro station
Delhi Airport metro station
Sarojini Nagar metro station
Civil Lines metro station (Delhi)
Rohini West metro station
IIT Delhi metro station
Ghitorni metro station
Neelam Chowk Ajronda metro station
Samaypur Badli metro station
Jaffrabad metro station
Nangloi Railway Station metro station
Bata Chowk metro station
East Azad Nagar metro station
Dhaula Kuan metro station
IP Extension metro station
Kalkaji Mandir metro station
MG Road metro station
Dwarka Sector 12 metro station
Jama Masjid metro station
Kohat Enclave metro station
Lal Qila metro station
Mandi House metro station
Mayur Vihar-I metro station
Munirka metro station
NHPC Chowk metro station
Kalindi Kunj metro station
Shahdara metro station
Chirag Delhi metro station
Shankar Vihar metro station
Sarita Vihar metro station
Keshav Puram metro station
ITO metro station
Pratap Nagar metro station
Dashrath Puri metro station
Sadar Bazaar Cantonment metro station
