Station Names
Salt Lake Sector-V 
Rabindra Sadan 
City Center 
Noapara 
Girish Park 
Shahid Khudiram 
Belgachhia 
Bengal Chemical 
Karunamoyee 
Central
Shobhabazar Sutanuti 
Dakshineswar 
Gitanjali 
Maidan 
Shyambazar 
Baranagar 
Netaji Bhavan 
Chandni Chowk
Mahanayak Uttam Kumar 
Park Street
Kalighat 
Jatin Das Park 
Mahatma Gandhi Road
Kavi Subhash 
Rabindra Sarobar 
Masterda Surya Sen 
Netaji 
Phoolbagan 
Salt Lake Stadium 
Kavi Nazrul 
Esplanade 
Dum Dum 
Central Park 
