Station Names
Kilpauk Medical College metro station
Washermanpet metro station
Tondiarpet metro station
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT metro station
Tiruvottriyur metro station
Nanganallur Road metro station
Anna Nagar Tower metro station
Little Mount metro station
Government Estate metro station
Tollgate metro station
Pachaiyappa's College metro station
Thousand Lights metro station
Shenoy Nagar metro station
Ekkattuthangal metro station
Koyambedu metro station
Ashok Nagar metro station
High Court metro station
Kaladipet metro station
Mannadi metro station
Anna Nagar East metro station
Chennai International Airport metro station
Guindy metro station
Arignar Anna Alandur metro station
Arumbakkam metro station
St. Thomas Mount railway station
Wimco Nagar metro station
Meenambakkam metro station
Nehru Park metro station
Egmore metro station
Sir Theagaraya College metro station
Teynampet metro station
Thirumangalam metro station
Nandanam metro station
LIC metro station
Tiruvottriyur Theradi metro station
Saidapet metro station
Vadapalani metro station
New Washermanpet metro station
AG – DMS metro station
Puratchi Thalaivar Dr. M.G. Ramachandran Central metro station
