Station Name,Latitude,Longitude
Shankarwadi,19.128339,72.8530845
Godrej Company Mumbai ,19.1047986,72.921684
Saki Naka Mumbai ,19.10354565,72.88794244
Saki Vihar Road Mumbai ,19.1286075,72.895732
Temghar Mumbai ,19.2787193,73.0779648
BPT Hospital Mumbai ,19.0128573,72.86147028
Kalher Mumbai ,19.2470586,73.0162096
Kolegaon Mumbai ,19.1611281,73.0890407
Surya Nagar Mumbai ,19.1190441,72.9234984
Malad Mumbai ,19.1867193,72.8485884
Carnac Bunder Mumbai ,18.9454612,72.8311249
Indira Nagar Mumbai ,19.036052,72.8635501
Siddhivinayak Temple Mumbai ,19.1726703,72.9562489
Chakala Mumbai ,19.1152873,72.8618085
Prem Nagar Mumbai ,19.10922945,72.83963053
Andheri Mumbai ,19.1196976,72.8464205
Mulund Fire Station Mumbai ,19.17475,72.9418994
Gaimukh Mumbai ,19.2857571,72.9359618
Anjur Phata Mumbai ,19.3668806,72.9182969
Jogeshwari Mumbai ,19.1348994,72.8488199
Dongripada Mumbai ,19.2506904,72.9733318
Churchgate Mumbai ,18.9354797,72.8271741
Naval Housing Mumbai ,19.1167083,72.90636715
Tikuji-ni-wadi,19.2383742,72.9733673
Chembur Mumbai ,19.0626319,72.9011399
"BSNL, Govandi",19.0448214,72.8319516
Mahakali Caves Mumbai ,19.1306093,72.87381645
Kasturi Park Mumbai ,19.1728629,72.8362994
Nilaje Gaon Mumbai ,19.1539358,73.0824948
Wadala Truck Terminal Mumbai ,19.03470845,72.87661733
Gowniwada Mumbai ,19.271637,72.9554451
Bhandup Mumbai ,19.1438684,72.9384327
Vijay Garden Mumbai ,19.2622018,72.97381165
Teen Haath Naka,19.1873954,72.9619113
SEEPZ Mumbai ,19.1253556,72.87517017
Shangrila Mumbai ,19.0604361,72.8269737
Borivali Omkareshwar,19.2316351,72.8628477
D.N. Nagar Mumbai ,19.12829205,72.83019336
Ekta Nagar Mumbai ,19.0528973,72.9373071
Grant Road Mumbai ,18.9633549,72.8158261
Indralok Mumbai ,19.1391104,72.82453859
Bandra Mumbai ,19.0549792,72.8402203
Manpada Mumbai ,19.2314156,72.9738156
Shreyas Cinema Mumbai ,19.0940067,72.9126336
Kapurbawdi Mumbai ,19.2112292,72.9801892
I.C. Colony Mumbai ,19.2446251,72.8479254
Oshiwara Mumbai ,19.1502437,72.8342294
Magathane Bus Depot,19.2204779,72.864536
Marol Naka Mumbai ,19.1081559,72.87947778
Manpada Mumbai ,19.2314156,72.9738156
RTO Thane Mumbai ,19.1891278,72.9643227
CSMIA Domestic,19.0935401,72.8536803
Versova Mumbai ,19.13025205,72.8213775
Hay Bunder Mumbai ,18.9666198,72.842478
Dharavi Mumbai ,19.044463,72.8586177
Siddharth Colony Mumbai ,19.0679724,72.8472782
Anand Nagar Mumbai ,19.0993828,72.9115929
Shahid Bhagat Singh Garden,18.93558385,72.83714133
Andheri Mumbai ,19.1196976,72.8464205
Gaimukh Reti Bandar,19.2863715,72.9356472
Kurar Village Mumbai ,19.1878187,72.8641984
Anik Nagar Bus Depot Mumbai ,19.04510565,72.87685058
Sonarpada Mumbai ,19.1985496,73.0977884
Aarey Road Junction,19.1662738,72.8434777
Kurla Mumbai ,19.0652797,72.8793805
Vitt Bhatti Junction,19.1659588,72.8557224
Pant Nagar Mumbai ,19.07931595,72.9099471
Shastri Nagar Mumbai ,19.1380387,72.8280164
