,Cluster,Population,Cluster Distance,Latitude,Longitude,Station Name,Degree,Area (km^2)
0,0,34228,3.408596922918248,21.2523658,81.6656366,1,2,6.69
1,1,97246,5.123161334092779,21.2604593,81.6417966,2,3,21.27
2,2,76709,6.368558019112915,21.29064495,81.656438175,3,1,24.5
3,3,16759,2.9747786595378254,21.262290225,81.6762774,4,2,3.68
4,4,10785,3.1104706539099034,21.3079113,81.74020455,5,2,17.98
5,5,41233,8.605210019003444,21.2406034,81.62975371428571,6,3,5.16
6,6,58461,2.0639412962548063,21.208907775,81.628103275,7,1,11.95
7,7,33273,2.407054633924412,21.234338725,81.661196725,8,3,5.8500000000000005
8,8,135545,9.152906549647524,21.22598445,81.64416556,9,3,14.64
9,9,20049,1.5106923567883324,21.22751055,81.67239885000001,10,3,5.99
10,10,19014,0.6152963973788033,21.2115801,81.69741755,11,2,22.94
11,11,10373,1.0543131998974686,21.20816695,81.66449925,12,2,4.76
12,12,8427,3.62196064911614,21.17425235,81.6573746,13,1,9.55
13,13,277716,5.472462053668374,21.3010463,81.60052213333333,14,1,60.92
14,14,36228,2.1330798212037347,21.26843913333333,81.6195339,15,2,4.94
15,15,101518,5.5884875232569335,21.26062277142857,81.58909432857142,16,2,24.57
16,16,22379,0.0,21.2590702,81.5556516,17,1,3.95
17,17,56541,4.228916463384485,21.227826325,81.606794375,18,2,9.49
18,18,54464,5.20274406956757,21.24114835,81.60017485,19,2,10.46
19,19,14504,3.2814304750835945,21.1327578,81.73928025000001,20,1,40.54
20,20,11036,7.034762090089874,21.16953632,81.77944226,21,2,9.77
21,21,34821,3.5439223485063547,21.13957284,81.78438382,22,2,3.18
22,22,4101,2.185592466459945,21.20435965,81.7965277,23,1,10.48
23,23,7445,3.564838276613968,21.1969907,81.7570496,24,3,8.850000000000001
24,24,2817,0.0,21.314799,81.787518,25,1,7.98
